id,is_canceled
54530,0
21700,1
74790,1
92567,0
52846,0
37068,1
3369,0
72980,1
82741,1
27679,1
96521,0
112276,0
23182,0
11895,0
61120,1
79283,0
98933,0
78481,0
104448,0
112743,0
40028,1
17512,0
55123,0
76437,1
114145,0
82335,0
22246,0
108079,0
103679,0
80356,0
31913,0
50581,0
82147,0
99749,1
23200,1
105710,1
19165,0
88926,0
106333,0
88797,0
104719,0
92062,0
51924,0
63269,1
85079,0
79220,0
102475,0
50890,0
37556,1
7935,0
30916,0
42792,1
105346,0
95059,1
77126,1
12423,1
80605,0
2592,0
102944,0
14073,0
90528,0
7889,1
102980,0
105846,1
91599,0
62576,1
114685,0
45016,0
13517,1
40009,0
52202,1
107671,1
76892,0
110938,0
115708,0
97118,0
86669,0
8867,1
13593,1
103726,0
106405,1
95750,1
17905,0
49615,0
32617,0
52245,1
99536,0
32166,1
62331,1
77967,0
38043,1
53985,0
22728,0
46060,1
81703,1
73201,1
62287,1
56005,1
18537,0
43517,1
76108,1
117632,0
23446,0
53261,1
53952,1
47530,0
43447,1
89342,0
9441,1
72412,1
100547,0
48097,0
29184,0
59937,1
18180,0
38148,0
80061,0
28981,0
75888,0
49400,1
59582,1
76006,1
86051,1
19764,1
19917,1
46366,0
41723,0
102229,0
67961,0
17500,0
4004,1
51182,1
40280,0
46606,0
92647,0
113481,0
63788,0
36617,0
91554,1
57938,1
111753,0
29827,0
9334,0
87511,0
43689,0
33329,0
37570,1
69270,1
99447,0
102138,1
87947,0
19664,0
67398,1
2109,0
40795,0
88995,0
7821,0
51059,0
117303,1
70393,0
52161,1
19597,0
36976,1
35852,1
89630,1
7375,1
99066,0
14196,0
75998,1
114683,0
88371,0
91909,0
18040,0
64938,0
115416,0
65004,1
108766,1
100604,0
243,0
98590,0
5509,1
116276,0
112713,1
47791,0
55553,0
69966,1
16125,0
85973,0
24682,0
52446,1
25970,0
75218,1
11494,0
61219,0
84131,0
104378,0
111442,0
52575,0
3267,1
58917,1
68890,1
3054,0
93903,0
21354,0
116436,0
70204,1
50422,1
63610,0
21219,0
90891,0
5354,0
40228,0
116268,0
102866,0
12776,1
99424,0
46443,0
25160,0
41331,1
97081,0
68323,1
88801,1
63484,1
67031,1
70804,1
65863,1
29029,1
32169,0
93879,0
7585,1
54531,1
66564,1
92295,0
24010,0
74799,0
103473,0
82774,1
108968,0
114671,0
60604,0
119150,0
95661,0
96155,0
16843,0
37226,0
68558,1
102357,0
87087,0
86010,0
16198,0
97245,1
86419,0
112210,0
27904,0
13257,1
23228,0
56885,1
36894,0
33620,1
63800,1
94485,1
85941,0
57536,1
93144,0
39772,0
36799,1
42497,0
111729,1
73114,1
107285,0
11709,1
91520,0
111110,0
61653,1
34704,0
13990,0
95274,0
116562,1
52120,1
111605,0
551,1
5481,0
102034,0
4130,0
79721,0
115920,1
83840,0
98905,1
69770,1
48198,0
33057,1
103626,0
102433,0
6737,0
11269,1
22642,1
4706,0
19820,0
29929,1
30353,0
21795,0
102419,1
30826,1
49423,0
29058,1
6307,1
54800,1
112171,0
33972,0
18213,1
16646,0
81382,0
27673,1
14161,1
1477,1
32629,0
42934,0
47967,0
27222,0
80003,0
70965,1
49384,0
95744,1
51026,1
43040,0
595,0
31676,1
112487,1
54036,0
20375,0
22301,1
21900,0
117816,1
65782,0
42271,0
32491,1
113275,0
36588,0
114336,1
76331,0
98130,0
66447,1
24681,0
39655,1
49956,1
51380,1
114575,0
100422,0
8763,0
79006,0
113832,1
55576,1
21199,0
102726,0
40197,0
115999,1
57916,1
56838,1
64523,1
34002,0
83836,0
80354,0
71440,1
59960,1
15928,0
109549,1
85184,0
114801,0
55604,1
88792,0
54590,0
108250,0
72145,0
3279,0
42764,0
12244,1
105566,0
113517,0
60643,1
5870,0
97364,0
106700,1
33874,0
74449,1
75611,0
79175,1
88916,1
32995,0
75890,0
17795,0
60229,1
116998,0
87114,1
5830,0
54843,1
115972,0
7041,0
41697,0
55877,1
80747,1
51536,1
24156,1
28234,0
50213,1
25582,0
97133,0
93317,0
2466,1
63921,0
77701,0
58644,1
84876,0
56651,1
78696,0
58093,1
39286,1
16978,0
56360,1
114037,1
56411,1
11657,1
27001,0
107379,1
117767,0
94608,0
93550,0
97431,0
69423,0
55981,1
25561,1
38502,0
7965,1
37848,0
52699,0
53906,1
44310,1
80018,1
33476,0
103926,0
69591,1
101210,0
81465,0
101772,0
96940,0
77721,0
58309,0
28542,0
101503,0
9819,1
118719,0
15289,0
74632,1
3396,0
86259,0
77735,1
25435,0
52616,1
40044,0
32347,1
31660,0
91213,0
36849,0
46872,1
13582,1
81124,1
70926,0
52032,1
97162,0
27287,0
7699,1
59666,0
87810,0
94769,0
52667,1
36459,1
8333,1
61035,0
51662,1
92002,1
49231,0
84519,0
119289,1
45817,1
46124,1
31256,0
69295,1
110247,0
